name,ra,dec,Class,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,var_intra_prob,var_inter_prob,powlaw_gamma_mean,e_powlaw_gamma_mean,MW_MW,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag
2CXO J204710.2+105307,311.7927039,10.8855053,LMXB,3.75000000000006,7.135862012704652e-16,4.430431172830584e-16,1.8732811093750002e-15,7.582328299851002e-16,8.561185521843891e-15,3.822458961505512e-15,0.7806504395339,0.982,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J010111.0-642230,15.2962139,-64.3751782,LMXB,4.88888888888889,2.4215855199933204e-14,6.925510685188877e-15,6.085496275462728e-15,2.2097763883576066e-15,5.560866411546601e-15,3.3702220676040005e-15,0.28786786351629,,,,-9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J062153.2-271002,95.4716931,-27.1673729,CV,7.670878516024618,4.796111471164e-15,1.3150628227385e-15,3.5011262003529838e-15,7.693578966271243e-16,1.1722680308896522e-14,2.4535842506993003e-15,0.58986628005533,,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J112401.1-365319,171.0047099,-36.8886476,LMXB,10.266420896918898,1.4209514661508e-14,2.3743440311739997e-15,9.508531215142541e-15,1.6853747793165498e-15,3.383912992342521e-14,6.554554332789655e-15,0.972550455681664,,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J141430.1-651622,213.625534,-65.2728568,CV,30.777429530317576,7.638802192710132e-15,6.915738669308561e-16,1.2359550552736703e-14,7.151176769721514e-16,7.732609437392438e-14,3.770992127043864e-15,1.0,0.998,1.4377513381864464,0.120861915172606,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J165000.9-495744,252.503942,-49.9622941,LMXB,86.04466633434998,1.2756281750416842e-16,1.2556215985120411e-16,1.36992733894868e-16,1.3699273389486502e-16,3.5167709404166806e-15,2.26078131883925e-15,0.13741268669617,,,,-9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J173413.4-260518,263.5560341,-26.0885277,LMXB,14.811133502624216,5.939491469685557e-16,1.2038571739954493e-16,2.179437600700912e-15,2.5432464641219e-16,7.091110708953622e-16,2.2204764901054376e-16,0.931490364183743,1.0,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J173953.9-282946,264.9747463,-28.4962303,LMXB,4.378378378377972,8.334132214595498e-16,4.079685560090975e-16,6.604260172504791e-15,1.3701544552555885e-15,1.0701601736906632e-14,3.595139637935827e-15,0.76256262024913,0.204,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J174931.7-280805,267.382206,-28.1347369,LMXB,6.976798504649654,3.6422004122260896e-15,2.7517211635855103e-15,1.607825555080847e-15,6.6137114743027695e-16,5.0676788662310175e-14,7.979917284986458e-15,0.55892299856044,0.308,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2CXO J180632.1-221417,271.6340718,-22.2380965,LMXB,26.28990343455141,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,,,,,-99,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
