ebv,Gmag_cor,BPmag_cor,RPmag_cor,Jmag_cor,Hmag_cor,Kmag_cor,W1mag_cor,W2mag_cor,W3mag_cor,ebv_index
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0
0.1,-0.28018851709911013,-0.3441653203597755,-0.18600572044845612,-0.08123763083730219,-0.050607216542248167,-0.03471059086167228,-0.01984880531745681,-0.013846514771340381,-0.005281490065627416,1
0.2,-0.5603770341982203,-0.688330640719551,-0.37201144089691224,-0.16247526167460438,-0.10121443308449633,-0.06942118172334456,-0.03969761063491362,-0.027693029542680762,-0.010562980131254831,2
0.3,-0.8405655512973303,-1.0324959610793265,-0.5580171613453684,-0.24371289251190656,-0.1518216496267445,-0.10413177258501684,-0.05954641595237043,-0.04153954431402114,-0.015844470196882246,3
0.4,-1.1207540683964405,-1.376661281439102,-0.7440228817938245,-0.32495052334920876,-0.20242886616899267,-0.13884236344668913,-0.07939522126982725,-0.055386059085361525,-0.021125960262509662,4
0.5,-1.4009425854955504,-1.7208266017988771,-0.9300286022422805,-0.4061881541865109,-0.2530360827112408,-0.17355295430836137,-0.09924402658728404,-0.0692325738567019,-0.026407450328137072,5
0.6,-1.6811311025946607,-2.064991922158653,-1.1160343226907368,-0.4874257850238131,-0.303643299253489,-0.20826354517003368,-0.11909283190474086,-0.08307908862804228,-0.03168894039376449,6
0.7,-1.9613196196937708,-2.4091572425184284,-1.3020400431391927,-0.5686634158611152,-0.35425051579573713,-0.24297413603170595,-0.13894163722219766,-0.09692560339938266,-0.036970430459391905,7
0.8,-2.241508136792881,-2.753322562878204,-1.488045763587649,-0.6499010466984175,-0.40485773233798533,-0.27768472689337825,-0.1587904425396545,-0.11077211817072305,-0.042251920525019325,8
0.9,-2.5216966538919907,-3.097487883237979,-1.674051484036105,-0.7311386775357196,-0.4554649488802334,-0.3123953177550505,-0.17863924785711127,-0.12461863294206342,-0.04753341059064673,9
1.0,-2.801885170991101,-3.4416532035977543,-1.860057204484561,-0.8123763083730218,-0.5060721654224816,-0.34710590861672275,-0.19848805317456808,-0.1384651477134038,-0.052814900656274144,10
1.1,-3.0820736880902113,-3.78581852395753,-2.0460629249330173,-0.8936139392103241,-0.5566793819647298,-0.3818164994783951,-0.21833685849202492,-0.15231166248474418,-0.058096390721901564,11
1.2,-3.3622622051893214,-4.129983844317306,-2.2320686453814735,-0.9748515700476262,-0.607286598506978,-0.41652709034006735,-0.23818566380948172,-0.16615817725608456,-0.06337788078752898,12
1.3,-3.642450722288431,-4.474149164677081,-2.4180743658299293,-1.0560892008849283,-0.6578938150492261,-0.45123768120173957,-0.2580344691269385,-0.18000469202742495,-0.06865937085315639,13
1.4,-3.9226392393875416,-4.818314485036857,-2.6040800862783855,-1.1373268317222305,-0.7085010315914743,-0.4859482720634119,-0.2778832744443953,-0.19385120679876533,-0.07394086091878381,14
1.5,-4.202827756486651,-5.162479805396631,-2.7900858067268413,-1.2185644625595327,-0.7591082481337224,-0.5206588629250841,-0.2977320797618521,-0.2076977215701057,-0.07922235098441122,15
1.6,-4.483016273585762,-5.506645125756408,-2.976091527175298,-1.299802093396835,-0.8097154646759707,-0.5553694537867565,-0.317580885079309,-0.2215442363414461,-0.08450384105003865,16
1.7,-4.763204790684872,-5.850810446116183,-3.1620972476237537,-1.3810397242341372,-0.8603226812182188,-0.5900800446484288,-0.3374296903967658,-0.23539075111278646,-0.08978533111566606,17
1.8,-5.043393307783981,-6.194975766475958,-3.34810296807221,-1.4622773550714392,-0.9109298977604668,-0.624790635510101,-0.35727849571422254,-0.24923726588412684,-0.09506682118129346,18
1.9,-5.3235818248830915,-6.539141086835734,-3.534108688520666,-1.5435149859087414,-0.961537114302715,-0.6595012263717732,-0.37712730103167935,-0.2630837806554672,-0.10034831124692088,19
2.0,-5.603770341982202,-6.883306407195509,-3.720114408969122,-1.6247526167460435,-1.0121443308449631,-0.6942118172334455,-0.39697610634913616,-0.2769302954268076,-0.10562980131254829,20
